window_start,window_end,occupied_spaces,total_spaces,occupancy_rate,hour,minute,day_of_week,day_name,is_weekend,month,date,occupancy_class
2018-04-25 0:00:00,2018-04-25 0:15:00,0,54,0,0,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 0:15:00,2018-04-25 0:30:00,0,54,0,0,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 0:30:00,2018-04-25 0:45:00,0,54,0,0,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 0:45:00,2018-04-25 1:00:00,0,54,0,0,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 1:00:00,2018-04-25 1:15:00,0,54,0,1,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 1:15:00,2018-04-25 1:30:00,0,54,0,1,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 1:30:00,2018-04-25 1:45:00,0,54,0,1,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 1:45:00,2018-04-25 2:00:00,0,54,0,1,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 2:00:00,2018-04-25 2:15:00,0,54,0,2,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 2:15:00,2018-04-25 2:30:00,0,54,0,2,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 2:30:00,2018-04-25 2:45:00,0,54,0,2,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 2:45:00,2018-04-25 3:00:00,0,54,0,2,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 3:00:00,2018-04-25 3:15:00,0,54,0,3,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 3:15:00,2018-04-25 3:30:00,0,54,0,3,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 3:30:00,2018-04-25 3:45:00,0,54,0,3,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 3:45:00,2018-04-25 4:00:00,0,54,0,3,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 4:00:00,2018-04-25 4:15:00,0,54,0,4,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 4:15:00,2018-04-25 4:30:00,0,54,0,4,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 4:30:00,2018-04-25 4:45:00,0,54,0,4,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 4:45:00,2018-04-25 5:00:00,0,54,0,4,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 5:00:00,2018-04-25 5:15:00,0,54,0,5,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 5:15:00,2018-04-25 5:30:00,0,54,0,5,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 5:30:00,2018-04-25 5:45:00,0,54,0,5,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 5:45:00,2018-04-25 6:00:00,0,54,0,5,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 6:00:00,2018-04-25 6:15:00,0,54,0,6,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 6:15:00,2018-04-25 6:30:00,0,54,0,6,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 6:30:00,2018-04-25 6:45:00,0,54,0,6,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 6:45:00,2018-04-25 7:00:00,0,54,0,6,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 7:00:00,2018-04-25 7:15:00,0,54,0,7,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 7:15:00,2018-04-25 7:30:00,0,54,0,7,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 7:30:00,2018-04-25 7:45:00,0,54,0,7,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 7:45:00,2018-04-25 8:00:00,0,54,0,7,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 8:00:00,2018-04-25 8:15:00,0,54,0,8,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 8:15:00,2018-04-25 8:30:00,0,54,0,8,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 8:30:00,2018-04-25 8:45:00,0,54,0,8,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 8:45:00,2018-04-25 9:00:00,0,54,0,8,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 9:00:00,2018-04-25 9:15:00,0,54,0,9,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 9:15:00,2018-04-25 9:30:00,0,54,0,9,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 9:30:00,2018-04-25 9:45:00,0,54,0,9,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 9:45:00,2018-04-25 10:00:00,0,54,0,9,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 10:00:00,2018-04-25 10:15:00,0,54,0,10,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 10:15:00,2018-04-25 10:30:00,0,54,0,10,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 10:30:00,2018-04-25 10:45:00,0,54,0,10,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 10:45:00,2018-04-25 11:00:00,0,54,0,10,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 11:00:00,2018-04-25 11:15:00,1,54,0.0185,11,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 11:15:00,2018-04-25 11:30:00,1,54,0.0185,11,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 11:30:00,2018-04-25 11:45:00,1,54,0.0185,11,30,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 11:45:00,2018-04-25 12:00:00,1,54,0.0185,11,45,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 12:00:00,2018-04-25 12:15:00,1,54,0.0185,12,0,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 12:15:00,2018-04-25 12:30:00,1,54,0.0185,12,15,2,Wednesday,0,4,2018-04-25,Not Busy
2018-04-25 12:30:00,2018-04-25 12:45:00,1,54,0.0185,12,30,2,Wednesday,0,4,2018-04-25,Not Busy
